,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2,cks_dilution,cks_rcf,parallax1,parallax1_err0,parallax2,parallax2_err1,parallax2_err2
352,K00440,2438264,K00440.02,Kepler-156 b,CONFIRMED,4.973451411,4.74e-06,-4.74e-06,2455003.886,0.000757,-0.000757,0.8589,0.0084,-0.6018,1.6791,0.0482,-0.0482,,,,774.2,14.5,-14.5,0.029844,0.000467,-0.004097,1.63761,7.60166,-0.158,2.51,0.4,-0.2,0.053,,,853.0,,,124.98,66.56,-29.29,12.89,6.0,-6.0,52.973442,59.2,2,,5075.0,162.0,-131.0,4.569,0.034,-0.098,-0.02,0.3,-0.26,0.769,0.125,-0.06,0.801,0.094,-0.071,,,,stellar_q1_q16,14.172,12.735,12.255,12.155,False,5078.4,60.0,-60.0,4.535,0.1,-0.1,0.169,0.04,-0.04,2.6,1.0,-1.0,5078.0,60.0,60.0,4.535,0.042,-0.045,0.159,0.042,-0.042,0.797,0.022,0.021,0.864,0.025,0.027,8.12830516164,4.82317523861,-5.03210915952,9.91,0.202319412658,-0.419171554467,2.26,0.1,-0.11,2.592,0.211,0.211,0.0538829111108,0.000909633359673,-0.000909633359673,138.681854135,23.7978297866,-23.7978297866,874.517361771,37.3933261921,-37.3933261921,1.021,1.0023,2.279,0.018,2.205,0.076,0.091
361,K00456,7269974,K00456.01,Kepler-160 c,CONFIRMED,13.69941722,1.552e-05,-1.552e-05,2455004.48,0.000882,-0.000882,0.3139,0.0744,-0.3138,4.3343,0.0367,-0.0367,,,,1264.1,12.4,-12.4,0.03285,0.000307,-0.000508,1.35349,0.24239,-0.19693,3.11,1.32,-0.29,0.1077,,,733.0,,,68.25,86.1,-17.95,23.77,4.3,-4.3,98.766304,114.6,2,,5857.0,161.0,-154.0,4.51,0.051,-0.288,-0.36,0.3,-0.26,0.867,0.368,-0.082,0.887,0.116,-0.082,,,,stellar_q1_q16,14.619,13.46,13.101,13.052,False,5616.5,60.0,-60.0,4.335,0.1,-0.1,0.198,0.04,-0.04,1.3,1.0,-1.0,5616.0,60.0,60.0,4.336,0.089,-0.091,0.186,0.042,-0.043,1.045,0.031,0.03,1.003,0.036,0.034,8.89201117858,2.16342996078,-2.93460155002,9.949,0.094576076681,-0.173942536999,1.04,0.11,-0.11,3.749,0.122,0.122,0.111396540723,0.00186479617135,-0.00186479617135,88.4476587024,19.953207877,-19.953207877,781.511029134,43.9453387533,-43.9453387533,1.04,1.0,1.092,0.018,1.052,0.089,0.121
362,K00456,7269974,K00456.02,Kepler-160 b,CONFIRMED,4.30920108,2.667e-05,-2.667e-05,2454967.075,0.00514,-0.00514,0.1058,0.3538,-0.1057,1.052,0.179,-0.179,,,,416.9,67.5,-67.5,0.018836,0.001958,-0.001759,32.52435,513.29059,-21.74118,1.78,0.76,-0.17,0.0498,,,1078.0,,,319.22,402.7,-83.98,31.7,15.6,-15.6,31.597542,31.6,2,,5857.0,161.0,-154.0,4.51,0.051,-0.288,-0.36,0.3,-0.26,0.867,0.368,-0.082,0.887,0.116,-0.082,,,,stellar_q1_q16,14.619,13.46,13.101,13.052,False,5616.5,60.0,-60.0,4.335,0.1,-0.1,0.198,0.04,-0.04,1.3,1.0,-1.0,5616.0,60.0,60.0,4.336,0.089,-0.091,0.186,0.042,-0.043,1.045,0.031,0.03,1.003,0.036,0.034,8.89201117858,2.16342996078,-2.93460155002,9.949,0.094576076681,-0.173942536999,1.04,0.11,-0.11,2.154,0.218,0.218,0.0515265964063,0.000854885800732,-0.000854885800732,414.919607646,94.2843720855,-94.2843720855,1150.15008464,65.1149871499,-65.1149871499,1.04,1.0,1.092,0.018,1.052,0.089,0.121
364,K00457,7440748,K00457.01,Kepler-161 b,CONFIRMED,4.921354681,3.799e-06,-3.799e-06,2455007.3,0.000615,-0.000615,0.3115,0.0771,-0.3115,1.8648,0.0205,-0.0205,,,,800.1,10.2,-10.2,0.025593,0.000245,-0.000664,5.98091,0.96774,-1.08293,2.07,0.33,-0.16,0.0528,,,838.0,,,116.67,61.78,-26.31,19.71,3.2,-3.2,65.822914,82.2,2,,5079.0,160.0,-130.0,4.609,0.027,-0.101,-0.1,0.32,-0.28,0.739,0.12,-0.054,0.817,0.078,-0.089,,,,stellar_q1_q16,14.196,12.767,12.329,12.246,False,5107.7,60.0,-60.0,4.544,0.1,-0.1,0.239,0.04,-0.04,2.4,1.0,-1.0,5108.0,60.0,60.0,4.524,0.043,-0.05,0.226,0.042,-0.042,0.751,0.02,0.019,0.853,0.009,0.011,7.94328234724,5.00267769101,-4.84654136083,9.9,0.212134262098,-0.40909511782,2.1,0.1,-0.11,2.099,0.065,0.065,0.0539623709652,0.000900629697702,-0.000900629697702,148.734794145,25.7179379921,-25.7179379921,889.952178011,38.2880123757,-38.2880123757,1.062,1.0,2.325,0.016,2.054,0.069,0.092
363,K00457,7440748,K00457.02,Kepler-161 c,CONFIRMED,7.064256441,6.605e-06,-6.605e-06,2454968.379,0.000789,-0.000789,0.0026,0.4491,-0.0025,1.3826,0.0282,-0.0282,,,,733.0,15.8,-15.8,0.024226,0.001015,-0.000271,24.23054,3.18123,-7.12598,1.96,0.31,-0.15,0.0672,,,743.0,,,72.02,38.15,-16.23,39.98,5.2,-5.2,43.52778,53.4,2,,5079.0,160.0,-130.0,4.609,0.027,-0.101,-0.1,0.32,-0.28,0.739,0.12,-0.054,0.817,0.078,-0.089,,,,stellar_q1_q16,14.196,12.767,12.329,12.246,False,5107.7,60.0,-60.0,4.544,0.1,-0.1,0.239,0.04,-0.04,2.4,1.0,-1.0,5108.0,60.0,60.0,4.524,0.043,-0.05,0.226,0.042,-0.042,0.751,0.02,0.019,0.853,0.009,0.011,7.94328234724,5.00267769101,-4.84654136083,9.9,0.212134262098,-0.40909511782,2.1,0.1,-0.11,1.987,0.074,0.074,0.0686673085661,0.00114033104779,-0.00114033104779,92.1408704631,15.7144855684,-15.7144855684,789.544484079,33.5271991623,-33.5271991623,1.062,1.0,2.325,0.016,2.054,0.069,0.092
366,K00459,7977197,K00459.01,Kepler-162 c,CONFIRMED,19.44638698,2.541e-05,-2.541e-05,2455003.102,0.00104,-0.00104,0.8024,0.0546,-0.5538,3.6355,0.0565,-0.0565,,,,961.4,13.0,-13.0,0.031501,0.000338,-0.002859,0.93116,2.6699,-0.05975,3.28,1.25,-0.43,0.1355,,,681.0,,,50.73,57.32,-16.25,26.5,12.7,-12.7,71.17036,78.9,2,,5815.0,164.0,-151.0,4.421,0.102,-0.256,-0.3,0.3,-0.26,0.954,0.363,-0.125,0.875,0.128,-0.07,,,,stellar_q1_q16,14.248,13.041,12.708,12.658,False,5869.6,60.0,-60.0,4.285,0.1,-0.1,0.105,0.04,-0.04,3.0,1.0,-1.0,5870.0,60.0,60.0,4.284,0.091,-0.093,0.1,0.042,-0.043,1.134,0.033,0.032,1.053,0.035,0.034,6.16595001861,1.40659006592,-1.6410404388,9.79,0.0892415809079,-0.134390094775,1.1,0.13,-0.13,3.893,0.229,0.229,0.144445196902,0.00245216572264,-0.00245216572264,76.9828851413,19.1430897979,-19.1430897979,754.852455244,46.615786242,-46.615786242,1.0,1.0,1.193,0.02,1.126,0.111,0.152
365,K00459,7977197,K00459.02,Kepler-162 b,CONFIRMED,6.91986734,2.565e-05,-2.565e-05,2454967.116,0.00317,-0.00317,0.0238,0.4106,-0.0238,3.3292,0.0888,-0.0888,,,,182.4,7.8,-7.8,0.012333,0.000503,-0.000257,1.64288,0.10363,-0.57198,1.28,0.49,-0.16,0.068,,,961.0,,,201.41,227.61,-64.51,16.08,1.0,-1.0,22.336817,25.5,2,,5815.0,164.0,-151.0,4.421,0.102,-0.256,-0.3,0.3,-0.26,0.954,0.363,-0.125,0.875,0.128,-0.07,,,,stellar_q1_q16,14.248,13.041,12.708,12.658,False,5869.6,60.0,-60.0,4.285,0.1,-0.1,0.105,0.04,-0.04,3.0,1.0,-1.0,5870.0,60.0,60.0,4.284,0.091,-0.093,0.1,0.042,-0.043,1.134,0.033,0.032,1.053,0.035,0.034,6.16595001861,1.40659006592,-1.6410404388,9.79,0.0892415809079,-0.134390094775,1.1,0.13,-0.13,1.528,0.064,0.064,0.0725370538782,0.00121146890272,-0.00121146890272,305.155714147,75.8353969229,-75.8353969229,1065.10862814,66.1014608502,-66.1014608502,1.0,1.0,1.193,0.02,1.126,0.111,0.152
368,K00464,8890783,K00464.01,Kepler-561 b,CONFIRMED,58.3620495,3.229e-05,-3.229e-05,2455029.555,0.0004,-0.0004,0.0467,0.1557,-0.0467,6.2859,0.0181,-0.0181,,,,5635.3,19.3,-19.3,0.067643,0.000402,-0.000124,2.40514,0.02185,-0.15545,7.04,2.68,-0.67,0.2918,,,446.0,,,9.33,10.51,-2.48,75.657,0.687,-0.687,201.79471,304.7,2,,5592.0,154.0,-153.0,4.467,0.06,-0.266,0.16,0.2,-0.26,0.953,0.363,-0.09,0.973,0.097,-0.084,,,,stellar_q1_q16,14.361,13.061,12.69,12.585,False,5479.2,60.0,-60.0,4.485,0.1,-0.1,0.265,0.04,-0.04,1.6,1.0,-1.0,5479.0,60.0,60.0,4.451,0.06,-0.077,0.249,0.042,-0.043,0.884,0.026,0.025,0.98,0.014,0.018,6.45654229035,3.60179981725,-3.88036652785,9.81,0.192526402901,-0.39902451007,1.5,0.1,-0.12,6.527,0.188,0.188,0.291276832586,0.00480473613267,-0.00480473613267,8.91172528519,1.50729238993,-1.50729238993,440.305361417,18.5906143153,-18.5906143153,1.0,1.0,1.634,0.024,1.467,0.072,0.113
367,K00464,8890783,K00464.02,Kepler-561 c,CONFIRMED,5.350161983,4.435e-06,-4.435e-06,2455028.76,0.000639,-0.000639,0.1524,0.2282,-0.1524,2.243,0.0193,-0.0193,,,,800.5,10.0,-10.0,0.025593,0.000544,-0.000216,4.1781,0.09164,-0.98559,2.66,1.02,-0.25,0.0593,,,989.0,,,226.02,254.46,-60.14,18.491,0.406,-0.406,68.73179,90.6,2,,5592.0,154.0,-153.0,4.467,0.06,-0.266,0.16,0.2,-0.26,0.953,0.363,-0.09,0.973,0.097,-0.084,,,,stellar_q1_q16,14.361,13.061,12.69,12.585,False,5479.2,60.0,-60.0,4.485,0.1,-0.1,0.265,0.04,-0.04,1.6,1.0,-1.0,5479.0,60.0,60.0,4.451,0.06,-0.077,0.249,0.042,-0.043,0.884,0.026,0.025,0.98,0.014,0.018,6.45654229035,3.60179981725,-3.88036652785,9.81,0.192526402901,-0.39902451007,1.5,0.1,-0.12,2.469,0.078,0.078,0.059222127963,0.000987824833182,-0.000987824833182,215.667658437,36.9420098327,-36.9420098327,976.584398375,41.5748288525,-41.5748288525,1.0,1.0,1.634,0.024,1.467,0.072,0.113
371,K00474,10460984,K00474.01,Kepler-164 c,CONFIRMED,10.94577222,1.909e-05,-1.909e-05,2455009.719,0.00138,-0.00138,0.2857,0.1593,-0.2855,2.9622,0.0475,-0.0475,,,,546.1,11.2,-11.2,0.021665,0.000421,-0.000414,3.3549,0.49225,-0.98754,2.69,1.45,-0.31,0.0991,,,950.0,,,192.59,308.98,-61.52,27.7,4.1,-4.1,47.07241,56.1,3,,6353.0,158.0,-207.0,4.359,0.083,-0.306,-0.14,0.21,-0.3,1.139,0.611,-0.135,1.076,0.26,-0.106,,,,stellar_q1_q16,14.282,13.254,13.008,12.935,False,5923.2,60.0,-60.0,4.397,0.1,-0.1,0.0,0.04,-0.04,3.3,1.0,-1.0,5923.0,60.0,60.0,4.381,0.068,-0.082,0.003,0.04,-0.042,1.022,0.028,0.028,1.036,0.031,0.034,4.57088189615,1.65926849196,-2.16497521841,9.66,0.134498530116,-0.278721222436,1.086,0.091,-0.102,2.418,0.08,0.08,0.0980487347955,0.00164964605713,-0.00164964605713,136.204779043,26.1384343971,-26.1384343971,870.585867062,41.6264446975,-41.6264446975,1.0,1.0,1.147,0.017,1.105,0.066,0.11
372,K00474,10460984,K00474.02,Kepler-164 d,CONFIRMED,28.9868326,0.000103,-0.000103,2454967.782,0.00287,-0.00287,0.0271,0.4254,-0.0271,3.4329,0.0816,-0.0816,,,,459.9,16.0,-16.0,0.019745,0.000722,-0.000329,6.40225,0.44895,-2.07755,2.46,1.31,-0.3,0.1897,,,687.0,,,52.56,84.32,-16.79,65.76,4.6,-4.6,24.631758,29.4,3,,6353.0,158.0,-207.0,4.359,0.083,-0.306,-0.14,0.21,-0.3,1.139,0.611,-0.135,1.076,0.26,-0.106,,,,stellar_q1_q16,14.282,13.254,13.008,12.935,False,5923.2,60.0,-60.0,4.397,0.1,-0.1,0.0,0.04,-0.04,3.3,1.0,-1.0,5923.0,60.0,60.0,4.381,0.068,-0.082,0.003,0.04,-0.042,1.022,0.028,0.028,1.036,0.031,0.034,4.57088189615,1.65926849196,-2.16497521841,9.66,0.134498530116,-0.278721222436,1.086,0.091,-0.102,2.203,0.085,0.085,0.187703315111,0.00312689294953,-0.00312689294953,37.2945858993,7.14163484439,-7.14163484439,629.759856427,30.0153846406,-30.0153846406,1.0,1.0,1.147,0.017,1.105,0.066,0.11
374,K00474,10460984,K00474.04,Kepler-164 b,CONFIRMED,5.03506543,1.737e-05,-1.737e-05,2454965.655,0.00298,-0.00298,0.0842,0.3615,-0.0841,1.7602,0.087,-0.087,,,,160.1,10.1,-10.1,0.011673,0.000513,-0.000437,7.98815,1.30219,-2.99459,1.45,0.78,-0.17,0.059,,,1231.0,,,543.33,871.72,-173.55,22.04,3.6,-3.6,15.457478,19.6,3,,6353.0,158.0,-207.0,4.359,0.083,-0.306,-0.14,0.21,-0.3,1.139,0.611,-0.135,1.076,0.26,-0.106,,,,stellar_q1_q16,14.282,13.254,13.008,12.935,False,5923.2,60.0,-60.0,4.397,0.1,-0.1,0.0,0.04,-0.04,3.3,1.0,-1.0,5923.0,60.0,60.0,4.381,0.068,-0.082,0.003,0.04,-0.042,1.022,0.028,0.028,1.036,0.031,0.034,4.57088189615,1.65926849196,-2.16497521841,9.66,0.134498530116,-0.278721222436,1.086,0.091,-0.102,1.302,0.064,0.064,0.0584220659626,0.000967101868745,-0.000967101868745,383.90281507,74.5709412482,-74.5709412482,1128.02532513,54.5850697346,-54.5850697346,1.0,1.0,1.147,0.017,1.105,0.066,0.11
375,K00475,10577994,K00475.01,Kepler-165 b,CONFIRMED,8.18086953,1.626e-05,-1.626e-05,2455009.701,0.00152,-0.00152,0.8766,0.0284,-0.6056,2.9587,0.0681,-0.0681,,,,766.4,17.7,-17.7,0.029839,0.000524,-0.003958,0.42495,2.48748,-0.13332,2.46,0.51,-0.23,0.0716,,,746.0,,,73.21,48.07,-19.03,11.46,5.6,-5.6,42.059578,50.3,2,,5208.0,165.0,-133.0,4.546,0.059,-0.137,-0.32,0.38,-0.26,0.755,0.158,-0.071,0.733,0.134,-0.054,,,,stellar_q1_q16,14.802,13.43,12.926,12.843,False,5099.7,60.0,-60.0,4.742,0.1,-0.1,-0.248,0.04,-0.04,1.3,1.0,-1.0,5100.0,60.0,60.0,4.6,0.024,-0.043,-0.239,0.043,-0.043,0.738,0.021,0.02,0.746,0.028,0.023,5.2480746025,5.4922497226,-3.62666055869,9.72,0.311017395933,-0.510106069678,1.855,0.072,-0.079,2.404,0.194,0.194,0.0727602770302,0.00121326356934,-0.00121326356934,61.1043212762,10.6319808145,-10.6319808145,712.494485268,30.8323619715,-30.8323619715,1.006,1.0,1.807,0.02,1.867,0.052,0.057
376,K00475,10577994,K00475.02,Kepler-165 c,CONFIRMED,15.31297659,3.167e-05,-3.167e-05,2455004.794,0.00174,-0.00174,0.0473,0.4005,-0.0473,3.0481,0.061,-0.061,,,,908.8,22.1,-22.1,0.027124,0.000933,-0.0004,4.92783,0.37353,-1.49282,2.24,0.46,-0.21,0.1088,,,605.0,,,31.71,20.81,-8.25,39.38,3.0,-3.0,38.48383,45.7,2,,5208.0,165.0,-133.0,4.546,0.059,-0.137,-0.32,0.38,-0.26,0.755,0.158,-0.071,0.733,0.134,-0.054,,,,stellar_q1_q16,14.802,13.43,12.926,12.843,False,5099.7,60.0,-60.0,4.742,0.1,-0.1,-0.248,0.04,-0.04,1.3,1.0,-1.0,5100.0,60.0,60.0,4.6,0.024,-0.043,-0.239,0.043,-0.043,0.738,0.021,0.02,0.746,0.028,0.023,5.2480746025,5.4922497226,-3.62666055869,9.72,0.311017395933,-0.510106069678,1.855,0.072,-0.079,2.186,0.081,0.081,0.110508357195,0.00183099184285,-0.00183099184285,26.478577748,4.55784182896,-4.55784182896,578.078995566,24.8683689736,-24.8683689736,1.006,1.0,1.807,0.02,1.867,0.052,0.057
