star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
2026,2.14586975,0.923573844,0.09669220208333333,1.0,1.0,1.0,2,0.7294917708642177
2026,3.85050994,0.797885752,0.12887116583333333,1.0,1.0,1.0,2,0.5297762041509757
2092,9.68018081,1.46214527,0.16550461875,1.0,1.0,1.0,3,2.946957400432279
2092,20.936126,1.19574175,0.20766875291666667,1.0,1.0,1.0,3,1.3802734172549513
2092,81.4015641,1.76169339,0.3260984779166667,1.0,1.0,1.0,3,5.533351268143273
2533,0.82683291,1.35936719,0.07022883291666666,1.0,1.0,1.0,2,2.6576264820442423
2533,1.0563763,1.36741313,0.06204536375,1.0,1.0,1.0,2,4.070780596657707
2579,6.77368531,3.06902554,0.15780407999999999,1.0,1.0,1.0,2,9.16159836602141
2579,14.8613827,3.06278988,0.18169134750000002,1.0,1.0,1.0,2,6.345794847757867
2786,8.21229623,2.60760121,0.13386240083333334,1.0,1.0,1.0,4,6.191880281964426
2786,15.7896199,3.25321812,0.22100833625000002,1.0,1.0,1.0,4,9.753731833927596
2786,30.3253225,2.78381932,0.13157702375,1.0,1.0,1.0,4,6.016735042987469
2786,281.254721,6.79377128,0.5570634875,1.0,1.0,1.0,4,43.36182807568011
2808,3.76450393,2.36900866,0.13501323666666668,1.0,1.0,1.0,2,8.32670361010822
2808,36.2506526,4.70639701,0.16037520416666667,1.0,1.0,1.0,2,20.527406166335986
2892,4.97525734,2.76949779,0.14967339,1.0,1.0,1.0,2,7.51099680021496
2892,73.5872264,5.40231829,0.28156947666666665,1.0,1.0,1.0,2,32.317445702951645
2945,1.75778155,2.43393626,0.08716769125,1.0,1.0,1.0,2,9.121016382617416
2945,2.58837938,4.52682436,0.042227270000000004,1.0,1.0,1.0,2,23.033234357540174
3176,10.8442786,2.62902115,0.18628475708333334,1.0,1.0,1.0,2,6.555608705827225
3176,36.1508343,3.15523425,0.2821715129166667,1.0,1.0,1.0,2,7.027658533131179
3472,10.0960428,0.876963049,0.13412934541666668,1.0,1.0,1.0,2,0.5725434761347992
3472,92.8123758,2.15828286,0.33903579833333336,1.0,1.0,1.0,2,6.645087271458992
3826,16.5754223,2.2618991,0.17829338958333332,1.0,1.0,1.0,2,7.256116678956215
3826,37.2362302,2.20230068,0.285924835,1.0,1.0,1.0,2,5.779489120629323
3965,12.0205183,2.30065134,0.04312341250000001,1.0,1.0,1.0,3,7.075759819344542
3965,27.0388809,2.72743,0.26205575124999997,1.0,1.0,1.0,3,6.097849275641821
3965,55.9870846,4.51440286,0.34125791083333334,1.0,1.0,1.0,3,17.08353955966742
4041,15.4861973,0.987461051,0.16130201916666667,1.0,1.0,1.0,2,0.8858436419819401
4041,41.5246154,1.39556542,0.29757408625,1.0,1.0,1.0,2,1.710646843028227
4141,9.14684808,2.21697918,0.1808653875,1.0,1.0,1.0,2,7.345123852070008
