target_id,star_id,period,depth,duration,star_mass,star_radius,npl,radius,mass
61.0,73760.0,3.5535720857095017,0.0008326910252532912,0.07820404338372203,0.944,1.7642115,1,5.00539789821401,25.011118117937563
234.0,45788.0,30.12245213010523,0.00045054016378494685,0.2236354433001414,0.916,0.90913475,1,1.9988700141126885,6.388995300833901
273.0,47395.0,10.671989118488316,0.00018396491629709213,0.16595868363605246,0.831,1.061231,1,1.499723262192706,3.0355788468190688
491.0,35136.0,11.70884044749558,0.0014688487194587814,0.19399393788140437,0.912,1.1244932,1,4.603420512741747,22.058639586783773
528.0,77377.0,12.812705346078081,0.0002813438404571522,0.1348243482095207,0.859,0.78093207,1,1.253753871331044,1.9346343807616937
720.0,36473.0,31.62544880400122,0.0003742561354204834,0.09276628330474551,0.997,1.0740129,1,2.055438414976728,6.391525370355623
813.0,50430.0,26.00970458364137,0.0012554667807497262,0.17796732117951988,1.125,1.3907495,1,5.490747701822663,29.12263164200055
1037.0,59938.0,26.035844403382253,0.0020260356749404007,0.0792163231974707,0.751,0.73502976,1,3.2655817323131973,6.276038762516803
1073.0,25183.0,26.808038933282248,0.0001425433670765474,0.21721621287243056,1.0,1.0110272,1,1.2744647950481105,2.063176739128062
1178.0,16679.0,4.183092150843068,0.0004885837045244001,0.13445155976995932,0.904,1.0515348,1,2.5805358809911776,7.897986774183134
1221.0,41775.0,3.0960151580063324,0.0001760428453613242,0.06571828550516992,0.846,0.8094911,1,1.127862134724406,1.2910508454337213
1253.0,40042.0,6.392372304144932,0.001523521771566612,0.07256717655305032,1.072,1.7193383,1,7.048612746210138,44.655215170141865
1280.0,37671.0,13.40986762486169,0.00030818582703702555,0.13197758514320068,0.775,0.68703336,1,1.2690104017233512,2.0023422252852514
1287.0,70308.0,10.023630106241383,0.0003710435920262007,0.12050678009403315,1.581,1.587674,1,2.7296681810903,6.488022027038822
1382.0,16854.0,11.482771292425568,0.00032071000672280003,0.18472661793290365,0.915,1.3970894,1,2.242245173331901,6.202238380393973
1422.0,16957.0,24.69308906604302,0.001786126178137564,0.14998713511910705,0.936,0.6317106,1,2.551568727636775,5.258338765087836
1566.0,75428.0,9.422556651142319,0.0009319014530062409,0.1520206593481001,1.003,0.9294006,1,2.5044315020534618,6.206955081558023
1575.0,13654.0,14.114340911242438,0.00033152337929463077,0.17855759747491023,1.09,1.0873177,1,1.8792659569796941,6.526891897837579
1618.0,60691.0,5.290035754893947,0.00036226724221752674,0.13578287479944579,1.115,1.2434775,1,2.366599473054015,8.399668861750687
1649.0,21004.0,7.909327272415854,0.00018152296288775373,0.0729994492031356,1.566,1.7553679,1,2.356798049135386,6.468550167741018
1964.0,75119.0,3.973551843701158,0.0014868711495514752,0.08455079242082492,0.907,0.8186826,1,3.192802253803751,10.662703915495213
1965.0,57520.0,63.78941848562897,0.00036365151049307695,0.22316128663969206,0.673,0.6421671,1,1.1338820155187055,1.3148374120897757
1987.0,51649.0,80.28688744123707,0.0013799471499132954,0.20317748815822068,0.743,0.71915066,1,2.1985494617910337,5.003479529778254
2017.0,31004.0,46.59440354303097,0.0005452867910252142,0.22028535680798852,0.853,0.77032936,1,1.9412139445341412,6.2166049559424215
2101.0,6991.0,7.6010818343686095,0.00128092235021754,0.12621930631596465,1.041,1.1592844,1,4.7397971540104304,22.091603931896707
2145.0,76969.0,10.171928900606908,0.00028349906983825897,0.16817733103088311,1.067,1.1215656,1,2.023070423306333,7.831657395937821
2175.0,15470.0,88.87144825649607,0.00041169765089150274,0.34260913970306045,1.115,1.0576168,1,2.265513721635806,5.58376577113888
2195.0,17092.0,37.824771460063474,0.000262866438166078,0.07269441221287942,1.023,1.0671319,1,1.8298009280664194,6.498424753644659
2258.0,15222.0,26.170114836819813,0.00032555297665275043,0.2779677924487288,0.993,1.354216,1,2.536625763135362,5.533380882643657
2318.0,21187.0,89.48128668932269,0.003906866622985231,0.3636356140859759,0.831,0.977303,1,6.538552691009916,39.298861279898084
2346.0,29026.0,28.94796111476253,0.00021971214360144272,0.23811909817497204,0.989,1.0876434,1,1.808539681184466,6.178746068905708
2468.0,42631.0,10.109929841750333,0.00034784725959513866,0.15687249870842185,1.099,1.024056,1,2.118342393777877,6.355540592050636
2851.0,46638.0,3.854393338035083,0.00031963931561917064,0.11164298280715479,0.735,1.5490482,1,3.094183300712525,10.038151486091468
2964.0,23275.0,48.30415690829128,9.131133496011389e-05,0.30096840340254205,0.927,1.2278602,1,1.3816165522577133,2.1526653390072417
2981.0,33862.0,5.3244571220013155,0.0009475276007516566,0.13706200139015728,1.083,1.133673,1,3.735463698630221,14.733752983802233
3131.0,35986.0,34.331311179424944,0.0006046628195536632,0.2183155519358697,1.439,1.1540436,1,2.9156381937724243,6.957487071722851
3165.0,21542.0,181.8922251558902,0.0006853446564513595,0.29310127414049947,0.961,1.2971694,1,3.2703099918353917,7.617085220635278
3235.0,49959.0,7.5491015967296,0.00023949750324397587,0.1914701226540435,1.055,1.4011731,1,1.9040638237394567,5.498927894871617
3271.0,57482.0,6.044824604503677,0.0001620347767396213,0.11507979812902833,0.599,0.7445415,1,0.9535748746854676,0.8119820935224749
3353.0,12201.0,158.46921360865895,0.0014697370498013773,0.3648510082003707,0.804,0.81345564,1,3.3029754231328514,7.02353371267492
3373.0,77702.0,20.980098788336452,0.0034066729278256795,0.2474049942939398,1.137,1.3047597,1,7.932634827859883,53.863471868290155
3478.0,22186.0,83.55523834572767,0.0007473405057346984,0.3201683386642153,1.093,1.057858,1,2.8799695352615267,5.844383539731712
