# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.3506671834767394
# max_planets_in_clusters: 10
# power_law_P: 0.4
# min_period: 3.0
# max_period: 300.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.42
# sigma_incl: 48.0
# sigma_incl_near_mmr: 1.4
# sigma_hk: 0.02
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.31
# sigma_logperiod_per_pl_in_cluster: 0.21
#
target_id,star_id,period,depth,duration,star_mass,star_radius
40.0,6043.0,3.264889397958147,0.000953044918173097,0.05718990181872245,0.793,0.61259794
124.0,31536.0,79.93562807005905,0.0029106977052835432,0.16172578551389805,0.704,0.67288315
181.0,45168.0,55.14363386903114,0.00021555332543124868,0.3742083776330819,1.008,1.4340876
200.0,42357.0,10.624496823001401,0.0003669184835669776,0.19127903421703837,1.056,1.2467127
224.0,71380.0,3.4646739485395224,0.002822214654530409,0.09538294795663571,0.661,0.732514
256.0,22264.0,7.952528360238608,0.0001303576759114673,0.07126988609481379,0.845,0.80148226
311.0,32845.0,5.393103184798457,0.00012953493396309222,0.1996132779121153,0.977,1.5130501
392.0,1827.0,54.32660665621304,0.0017491172170824429,0.33050541502572195,1.068,1.1901835
401.0,72941.0,8.362677604871537,0.00042897590532351424,0.12461410455296124,0.811,0.8060106
569.0,53680.0,16.99218239040984,0.00038678573667393513,0.22078286511499592,0.929,1.1178492
607.0,75285.0,55.059009572525326,0.000593200133768159,0.19627373427611772,0.61,0.599528
625.0,23753.0,32.5831566440217,0.0006241755115744899,0.21331555710414357,0.831,1.3098654
626.0,3483.0,112.36467165451636,0.0005538584695222564,0.4107648010377425,0.962,1.4196246
635.0,8837.0,3.8259979053616786,0.000249488195482048,0.1396845290425996,1.081,1.2918315
692.0,30039.0,7.876080332534925,0.00026257961727128425,0.16401665445110622,1.335,1.6022327
795.0,13396.0,8.06578193699508,9.74240996622499e-5,0.26590731416957886,1.115,1.8309073
1056.0,23181.0,25.252983025883267,0.00030184206633337307,0.24549160195765288,1.156,1.46171
1094.0,31338.0,117.19063263826429,0.00020823637515209173,0.4351586007682023,1.054,1.2236968
1235.0,28108.0,53.63993511313767,0.000567596483141431,0.41278978718756937,0.882,1.4587867
1261.0,7237.0,14.86179810806404,0.00022546807257497258,0.17873106918738238,1.039,1.3931919
1286.0,61442.0,10.304266250506322,0.0033423414001185034,0.16399962520557798,1.119,1.2872399
1401.0,38194.0,6.780662777318062,0.0004316997027816801,0.027063467036038274,0.847,0.8005629
1463.0,12169.0,22.968419533260178,6.830763603935882e-5,0.2146987330037302,0.93,0.9744682
1504.0,28442.0,3.2115846222103217,0.0003273128377341571,0.08128421767968837,0.792,0.9494896
1517.0,67805.0,8.015992896830562,0.0008430195096606,0.16387769356622497,1.014,1.1125764
1536.0,40800.0,3.0607029427194514,0.00010459518473990668,0.08098242987580714,0.914,1.0248208
1589.0,14296.0,30.80203654498051,0.0002499112010206252,0.16715281230194615,1.072,1.275858
1651.0,22074.0,3.1954302167289237,0.0016268092898852403,0.0954891046650449,0.644,0.85995924
1661.0,15490.0,6.924040639564493,0.0007931237151721369,0.0,0.818,0.86371404
1682.0,56023.0,5.587195240352239,0.0004726528620810676,0.10074488097116541,0.777,0.7278244
1727.0,23898.0,3.876346845107234,0.00015135928633749142,0.12311091630449235,1.1,1.1056379
1732.0,50017.0,23.30407279215435,0.00042788678064522445,0.18157188763368676,1.066,1.0295525
1973.0,27087.0,298.3970421116937,0.0010887431419895888,0.8132783643126732,0.813,1.4853716
1987.0,29801.0,26.08143291681821,0.0004388902007457386,0.25995682144523746,0.767,1.1598544
2005.0,37614.0,6.706431400294905,0.00015602347136479955,0.19245906820260478,0.95,1.2959806
2019.0,33481.0,22.324102700955137,0.0002238403618447962,0.3111679545965938,0.902,1.4101096
2360.0,50822.0,4.264684420177487,0.0003321798291260468,0.0717491732301555,0.652,1.0677859
2378.0,1766.0,24.10266393480725,0.00027375643697635023,0.1881195973251547,0.816,0.9816314
2424.0,56542.0,8.642037332819443,0.0005137152276834603,0.07915596342256745,0.85,0.85022086
2600.0,66476.0,58.62915798151273,0.00032330408685016476,0.1673028460287798,1.041,1.1890668
2601.0,18093.0,15.423129185412176,0.0015504383270032868,0.0977406400180313,0.831,0.7911231
2647.0,23227.0,6.476372531748762,0.0005557698935764951,0.11206211073033567,0.674,0.83761275
2663.0,47937.0,8.256335331519667,9.259000477284087e-5,0.12330059588837276,1.07,1.04431
2676.0,69811.0,22.11865341140314,0.0011793569874347294,0.15851036495847373,0.543,0.77661055
2695.0,62070.0,5.929606654160917,0.0003357383267565407,0.07247872389513776,0.902,1.4124424
2719.0,32687.0,58.5050119887722,0.002448718264746123,0.13773596378126732,0.689,0.5900764
2752.0,68035.0,34.62619992065997,0.0009108267869191943,0.15891652222818012,0.714,0.57933784
2786.0,66322.0,6.557313201324262,0.001943518417889492,0.07372543617450117,0.892,1.3492014
2815.0,15624.0,9.785399515001826,0.00017148860122091937,0.23875633220365283,0.984,1.5449544
2822.0,35931.0,5.064465368810606,0.0005073147424605925,0.16033244883199965,0.919,1.280273
2899.0,66835.0,11.965871498632623,0.0016268460659857472,0.07874461804337013,0.78,0.5784413
2958.0,74300.0,4.6560552891125635,0.00024279622331167312,0.04545993770299661,0.711,0.7314005
