star_id,period,radius,tdur,rhostar,rstar,mstar,npl
3,40.8927361,1.30574478,0.28922087125,1.0,1.0,1.0,1
7,3.68269837,1.5365943,0.121647155,1.0,1.0,1.0,1
36,14.5991822,1.77579032,0.18624316041666666,1.0,1.0,1.0,1
67,8.94464068,2.14673211,0.07625593333333333,1.0,1.0,1.0,1
90,25.8257455,2.03346269,0.17837696125,1.0,1.0,1.0,1
92,6.32778347,2.79631076,0.14936877916666666,1.0,1.0,1.0,2
92,16.0526631,2.41174554,0.2181022575,1.0,1.0,1.0,2
125,3.49999356,2.62201636,0.08609512000000001,1.0,1.0,1.0,1
145,18.1233214,2.28784322,0.17629235041666666,1.0,1.0,1.0,1
168,5.81232225,3.55085345,0.12360181833333334,1.0,1.0,1.0,1
207,0.232303525,2.08382345,0.05775057583333334,1.0,1.0,1.0,3
207,0.458484595,1.91563293,0.06954042833333333,1.0,1.0,1.0,3
207,0.698041663,1.44125739,0.0749201225,1.0,1.0,1.0,3
225,6.76400379,0.798499523,0.11314451833333333,1.0,1.0,1.0,2
225,9.36674839,0.791208298,0.17928917416666668,1.0,1.0,1.0,2
246,105.137844,1.37002605,0.39175765916666666,1.0,1.0,1.0,1
256,15.6619755,4.1250681,0.20596023083333334,1.0,1.0,1.0,1
309,46.6786578,2.16519762,0.2813940829166667,1.0,1.0,1.0,1
326,13.1221659,5.03801502,0.20011193875,1.0,1.0,1.0,1
362,9.36613289,1.15806385,0.17204734124999999,1.0,1.0,1.0,1
398,7.8691025,2.45989369,0.1721467675,1.0,1.0,1.0,5
398,12.8576784,3.44568429,0.10754116458333333,1.0,1.0,1.0,5
398,21.2748737,3.62826913,0.23731257541666664,1.0,1.0,1.0,5
398,36.1461456,5.14315448,0.16042308583333334,1.0,1.0,1.0,5
398,51.8702231,5.12168642,0.22771814375,1.0,1.0,1.0,5
404,15.4355312,1.46992773,0.06000761333333333,1.0,1.0,1.0,1
411,9.82861561,2.08087814,0.15293828333333334,1.0,1.0,1.0,1
417,11.3343183,2.58592309,0.08255390291666666,1.0,1.0,1.0,2
417,25.6378173,3.09102704,0.15200380041666667,1.0,1.0,1.0,2
421,11.7067062,2.64827608,0.08926671874999999,1.0,1.0,1.0,1
437,8.86532962,3.40506658,0.11519131541666666,1.0,1.0,1.0,3
437,14.3931497,5.33100909,0.2153663425,1.0,1.0,1.0,3
437,40.4495148,5.59230186,0.3090889,1.0,1.0,1.0,3
542,11.3333666,1.40459909,0.19445035958333334,1.0,1.0,1.0,4
542,14.523632,1.67003414,0.20423930666666668,1.0,1.0,1.0,4
542,25.8134177,2.90057761,0.08386154750000001,1.0,1.0,1.0,4
542,47.139853,5.12908677,0.31992394125,1.0,1.0,1.0,4
581,0.375479891,0.555212424,0.06287198041666667,1.0,1.0,1.0,5
581,0.959571825,0.637106751,0.08224237499999999,1.0,1.0,1.0,5
581,2.18815295,1.09061726,0.08177821333333334,1.0,1.0,1.0,5
581,2.9842223,1.43756173,0.08236702,1.0,1.0,1.0,5
581,4.31058136,0.875994993,0.046406445416666664,1.0,1.0,1.0,5
605,19.3427782,2.35180792,0.20549281541666667,1.0,1.0,1.0,1
645,5.67452611,0.433816754,0.05335128250000001,1.0,1.0,1.0,1
782,44.136307,2.07041858,0.27404965,1.0,1.0,1.0,1
850,6.61650906,1.70045591,0.11149309958333332,1.0,1.0,1.0,2
850,10.5842055,2.98023242,0.17658243791666664,1.0,1.0,1.0,2
984,6.23660959,1.24341749,0.13993553625,1.0,1.0,1.0,1
1022,0.590785305,1.86526705,0.04530858458333333,1.0,1.0,1.0,1
1060,5.54986783,0.824921833,0.14847585666666666,1.0,1.0,1.0,1
1095,11.1218746,1.9720798,0.1410401425,1.0,1.0,1.0,1
1096,29.3366098,3.61796078,0.27279785416666663,1.0,1.0,1.0,1
1101,3.84632204,2.23778943,0.1136706025,1.0,1.0,1.0,1
1107,0.649017541,0.434376099,0.05757659166666667,1.0,1.0,1.0,2
1107,0.929561773,0.515088338,0.0592443125,1.0,1.0,1.0,2
1148,127.478238,2.87356341,0.29019402791666665,1.0,1.0,1.0,1
1201,13.1328821,1.8275294,0.17034364999999999,1.0,1.0,1.0,1
1317,5.91517907,0.423111732,0.14428607958333334,1.0,1.0,1.0,1
1334,7.08707657,1.40983777,0.13358068333333334,1.0,1.0,1.0,1
1343,8.04368111,1.33360865,0.034892673875,1.0,1.0,1.0,1
1355,1.72321808,2.5340308,0.09324232791666666,1.0,1.0,1.0,7
1355,2.27892147,2.73036853,0.11184197,1.0,1.0,1.0,7
