star_id,period,radius,tdur,rhostar,rstar,mstar,npl
92,6.32778347,2.80756633,0.14936877916666666,1.0,1.0,1.0,8
92,10.7363811,1.62383911,0.1790115733333333,1.0,1.0,1.0,8
92,16.0526631,2.47965098,0.2181022575,1.0,1.0,1.0,8
92,27.1755775,1.88281766,0.10010502416666667,1.0,1.0,1.0,8
92,49.6954675,1.95215548,0.0,1.0,1.0,1.0,8
92,72.8078146,1.7654252,0.31816592375,1.0,1.0,1.0,8
92,102.502572,1.48442511,0.0,1.0,1.0,1.0,8
92,255.968479,1.59892696,0.36839516041666664,1.0,1.0,1.0,8
207,0.232303525,2.13817134,0.05775057583333334,1.0,1.0,1.0,10
207,0.458484595,2.01188429,0.06954042833333333,1.0,1.0,1.0,10
207,0.698041663,1.45171023,0.0749201225,1.0,1.0,1.0,10
207,1.54471071,1.82176987,0.0,1.0,1.0,1.0,10
207,3.47826615,1.07923876,0.0,1.0,1.0,1.0,10
207,4.79128698,0.851326949,0.044292914583333336,1.0,1.0,1.0,10
207,8.69946934,1.09420936,0.0,1.0,1.0,1.0,10
207,19.3312314,0.7588177,0.0,1.0,1.0,1.0,10
207,37.0720549,1.30933681,0.0,1.0,1.0,1.0,10
207,50.8260061,2.64363315,0.0,1.0,1.0,1.0,10
225,6.76400379,0.782010545,0.11314451833333333,1.0,1.0,1.0,8
225,9.36674839,0.824656338,0.17928917416666668,1.0,1.0,1.0,8
225,13.6046251,0.636221215,0.0,1.0,1.0,1.0,8
225,26.8943922,0.548272895,0.0,1.0,1.0,1.0,8
225,48.7362468,0.331849295,0.28767135,1.0,1.0,1.0,8
225,89.0790201,0.630042766,0.26580623291666666,1.0,1.0,1.0,8
225,122.990943,0.442889797,0.0,1.0,1.0,1.0,8
225,227.326811,0.606704758,0.0,1.0,1.0,1.0,8
398,7.8691025,2.41321564,0.1721467675,1.0,1.0,1.0,6
398,12.8576784,3.45409298,0.10754116458333333,1.0,1.0,1.0,6
398,21.2748737,3.7329771,0.23731257541666664,1.0,1.0,1.0,6
398,36.1461456,5.33339117,0.16042308583333334,1.0,1.0,1.0,6
398,51.8702231,5.00607744,0.22771814375,1.0,1.0,1.0,6
398,168.890483,2.63873409,0.0,1.0,1.0,1.0,6
417,11.3343183,2.51856365,0.08255390291666666,1.0,1.0,1.0,7
417,15.8084218,3.15174647,0.0,1.0,1.0,1.0,7
417,25.6378173,3.13009576,0.15200380041666667,1.0,1.0,1.0,7
417,45.8017218,2.60730822,0.0,1.0,1.0,1.0,7
417,64.7440714,5.23248243,0.0,1.0,1.0,1.0,7
417,82.2506065,4.38591087,0.0,1.0,1.0,1.0,7
417,180.609201,7.3335474,0.0,1.0,1.0,1.0,7
437,8.86532962,3.35355793,0.11519131541666666,1.0,1.0,1.0,8
437,14.3931497,5.45439584,0.2153663425,1.0,1.0,1.0,8
437,40.4495148,5.46849583,0.3090889,1.0,1.0,1.0,8
437,63.5454379,4.14100449,0.0,1.0,1.0,1.0,8
437,83.1003309,3.87375358,0.35680734000000003,1.0,1.0,1.0,8
437,148.529871,5.18035453,0.0,1.0,1.0,1.0,8
437,251.738557,9.36874877,0.0,1.0,1.0,1.0,8
437,344.569529,10.3095996,0.6115380125,1.0,1.0,1.0,8
542,11.3333666,1.4532906,0.19445035958333334,1.0,1.0,1.0,7
542,14.523632,1.70255944,0.20423930666666668,1.0,1.0,1.0,7
542,25.8134177,2.90256103,0.08386154750000001,1.0,1.0,1.0,7
542,47.139853,5.15770322,0.31992394125,1.0,1.0,1.0,7
542,71.4559864,2.87426273,0.0,1.0,1.0,1.0,7
542,111.606462,1.56739015,0.0,1.0,1.0,1.0,7
542,289.93242,1.64325764,0.5567681125,1.0,1.0,1.0,7
581,0.375479891,0.552693782,0.06287198041666667,1.0,1.0,1.0,9
581,0.959571825,0.641141697,0.08224237499999999,1.0,1.0,1.0,9
581,2.18815295,1.13856245,0.08177821333333334,1.0,1.0,1.0,9
581,2.9842223,1.37069933,0.08236702,1.0,1.0,1.0,9
581,4.31058136,0.866465546,0.046406445416666664,1.0,1.0,1.0,9
581,7.23815127,0.675965922,0.0,1.0,1.0,1.0,9
581,13.2717633,0.627700182,0.0,1.0,1.0,1.0,9
581,34.0077606,0.87211427,0.0,1.0,1.0,1.0,9
581,164.287611,0.750804159,0.0,1.0,1.0,1.0,9
850,6.61650906,1.72939174,0.11149309958333332,1.0,1.0,1.0,6
850,10.5842055,2.94128622,0.17658243791666664,1.0,1.0,1.0,6
850,27.2720691,1.92730495,0.0,1.0,1.0,1.0,6
850,51.7289959,1.62640982,0.0,1.0,1.0,1.0,6
850,275.791844,1.40219934,0.0,1.0,1.0,1.0,6
850,357.232978,1.8065977,0.0,1.0,1.0,1.0,6
1107,0.649017541,0.425327581,0.05757659166666667,1.0,1.0,1.0,9
1107,0.929561773,0.518020134,0.0592443125,1.0,1.0,1.0,9
1107,1.59096925,0.418299693,0.0,1.0,1.0,1.0,9
1107,2.37387728,0.40098038,0.0,1.0,1.0,1.0,9
1107,4.53575279,0.341327854,0.0,1.0,1.0,1.0,9
1107,10.8368847,0.223913253,0.0,1.0,1.0,1.0,9
1107,16.5802375,0.133360614,0.0,1.0,1.0,1.0,9
1107,93.5558604,0.133895451,0.0,1.0,1.0,1.0,9
1107,312.927957,0.101072194,0.0,1.0,1.0,1.0,9
1355,1.72321808,2.49882937,0.09324232791666666,1.0,1.0,1.0,10
1355,2.27892147,2.70343608,0.11184197,1.0,1.0,1.0,10
1355,3.56102246,2.18997016,0.09851408499999999,1.0,1.0,1.0,10
1355,4.76245092,2.36308975,0.12693927916666667,1.0,1.0,1.0,10
1355,6.82339044,6.43261504,0.15497247249999999,1.0,1.0,1.0,10
1355,10.2678068,4.29253321,0.1887602416666667,1.0,1.0,1.0,10
1355,21.5889166,5.26480242,0.21579927541666666,1.0,1.0,1.0,10
1355,30.6081098,2.49490339,0.0,1.0,1.0,1.0,10
1355,92.1607056,1.86322874,0.0,1.0,1.0,1.0,10
1355,159.73413,1.11338909,0.0,1.0,1.0,1.0,10
1865,11.6333363,4.40691817,0.14696443041666665,1.0,1.0,1.0,6
1865,29.5794834,4.6406142,0.20274483458333334,1.0,1.0,1.0,6
1865,63.8977698,1.440889,0.0,1.0,1.0,1.0,6
1865,81.6616667,1.15858894,0.24416532999999999,1.0,1.0,1.0,6
1865,145.582857,0.635897646,0.0,1.0,1.0,1.0,6
1865,187.551929,0.954849482,0.0,1.0,1.0,1.0,6
1920,0.8476897,1.31857833,0.0736672725,1.0,1.0,1.0,9
1920,1.51959398,1.20710522,0.08761025583333333,1.0,1.0,1.0,9
1920,2.46181363,1.30032458,0.08453313333333333,1.0,1.0,1.0,9
1920,6.4194718,0.827576756,0.06305237125,1.0,1.0,1.0,9
1920,14.2245253,0.610421911,0.0,1.0,1.0,1.0,9
1920,45.7943406,0.758652273,0.0,1.0,1.0,1.0,9
1920,67.5826376,1.04899406,0.0,1.0,1.0,1.0,9
1920,106.170863,0.598020622,0.0,1.0,1.0,1.0,9
1920,192.113007,0.552052142,0.0,1.0,1.0,1.0,9
2026,2.14586975,0.923494364,0.09669220208333333,1.0,1.0,1.0,8
2026,3.85050994,0.805031392,0.12887116583333333,1.0,1.0,1.0,8
2026,5.95159442,0.517958993,0.0913969525,1.0,1.0,1.0,8
2026,15.1528431,0.315894344,0.17570532583333334,1.0,1.0,1.0,8
2026,22.6462414,0.295015728,0.0,1.0,1.0,1.0,8
2026,41.4469157,0.390659934,0.0,1.0,1.0,1.0,8
2026,143.026718,0.365771131,0.0,1.0,1.0,1.0,8
2026,289.298599,0.421944562,0.0,1.0,1.0,1.0,8
2092,9.68018081,1.48829988,0.16550461875,1.0,1.0,1.0,5
2092,20.936126,1.20716637,0.20766875291666667,1.0,1.0,1.0,5
2092,81.4015641,1.75399011,0.3260984779166667,1.0,1.0,1.0,5
2092,148.337088,1.95031532,0.0,1.0,1.0,1.0,5
2092,281.114525,2.00652955,0.5580611916666667,1.0,1.0,1.0,5
2533,0.82683291,1.33168651,0.07022883291666666,1.0,1.0,1.0,10
2533,1.0563763,1.36845934,0.06204536375,1.0,1.0,1.0,10
2533,1.88664206,1.05325222,0.0,1.0,1.0,1.0,10
2533,2.60837626,0.836017269,0.0,1.0,1.0,1.0,10
2533,5.34196635,0.716645504,0.0,1.0,1.0,1.0,10
2533,9.76981965,1.01879809,0.0,1.0,1.0,1.0,10
2533,21.6729801,0.552291761,0.0,1.0,1.0,1.0,10
2533,28.4386424,0.525318648,0.0,1.0,1.0,1.0,10
2533,47.4941644,0.610613794,0.0,1.0,1.0,1.0,10
2533,125.87597,0.391532901,0.0,1.0,1.0,1.0,10
2579,6.77368531,3.11543386,0.15780407999999999,1.0,1.0,1.0,6
2579,14.8613827,3.09282145,0.18169134750000002,1.0,1.0,1.0,6
2579,46.1225707,4.16629522,0.0,1.0,1.0,1.0,6
2579,68.5805924,3.01819447,0.0,1.0,1.0,1.0,6
2579,138.486681,3.22205329,0.0,1.0,1.0,1.0,6
2579,278.89511,2.33117392,0.0,1.0,1.0,1.0,6
2786,8.21229623,2.56165378,0.13386240083333334,1.0,1.0,1.0,7
2786,15.7896199,3.24991863,0.22100833625000002,1.0,1.0,1.0,7
2786,30.3253225,2.80010914,0.13157702375,1.0,1.0,1.0,7
2786,76.1921032,2.50891683,0.0,1.0,1.0,1.0,7
2786,161.362442,5.68065649,0.0,1.0,1.0,1.0,7
2786,281.254721,6.80064282,0.5570634875,1.0,1.0,1.0,7
2786,398.056494,10.5574194,0.0,1.0,1.0,1.0,7
2808,1.33635026,2.46044835,0.0,1.0,1.0,1.0,10
2808,2.19653364,2.42664626,0.0,1.0,1.0,1.0,10
2808,3.76450393,2.29269669,0.13501323666666668,1.0,1.0,1.0,10
2808,4.79869087,2.4068367,0.0,1.0,1.0,1.0,10
2808,8.59152742,2.51425581,0.0,1.0,1.0,1.0,10
2808,14.5772294,1.73027687,0.0,1.0,1.0,1.0,10
2808,22.0735363,2.83575673,0.0,1.0,1.0,1.0,10
2808,36.2506526,4.88251831,0.16037520416666667,1.0,1.0,1.0,10
2808,61.1028666,3.43978246,0.0,1.0,1.0,1.0,10
2808,101.268998,2.53032015,0.0,1.0,1.0,1.0,10
2892,4.97525734,2.7219818,0.14967339,1.0,1.0,1.0,8
