target_id,star_id,planet_mass,planet_radius,clusterid,period,ecc,star_mass,star_radius,npl
41.0,68101.0,5.444565426700969e-05,0.04048588242539971,1.0,13.539115221761957,0.03365527334820287,0.884,1.0140013,5
41.0,68101.0,4.986675311511984e-05,0.043234426469962575,1.0,49.37392510774968,0.01234919120172485,0.884,1.0140013,5
41.0,68101.0,0.00011787659251536672,0.031027986385624776,1.0,89.3436794718232,0.0058274520691866845,0.884,1.0140013,5
41.0,68101.0,1.0512721625121604e-05,0.022247253590041503,1.0,143.25242630917663,0.010377036624072793,0.884,1.0140013,5
41.0,68101.0,2.528118947886727e-05,0.04490018351461067,1.0,243.30063811537312,0.02748138879314377,0.884,1.0140013,5
61.0,73760.0,2.9189418888636212e-05,0.04719856383063138,1.0,3.553486636269426,0.02818675448189584,0.944,1.7642115,4
61.0,73760.0,7.44753847783071e-06,0.04271196696433336,1.0,12.492103604837332,0.011770542447747112,0.944,1.7642115,4
61.0,73760.0,2.1594846786212496e-05,0.020131426608443442,1.0,19.21000527421033,0.01870110948375127,0.944,1.7642115,4
61.0,73760.0,0.00012819162370111814,0.03968145560193251,1.0,44.50095061438042,0.036090651752940246,0.944,1.7642115,4
93.0,47139.0,1.812064608003326e-05,0.010021755408393417,1.0,20.01333832091659,0.022588867173443074,0.825,0.8777242,4
93.0,47139.0,3.991089171592908e-06,0.00865091184866788,1.0,42.226936432132646,0.012506599821731456,0.825,0.8777242,4
93.0,47139.0,3.7900855578087623e-06,0.008690167660138392,1.0,212.524859871185,0.01984619258120158,0.825,0.8777242,4
93.0,47139.0,1.419881490288864e-05,0.009731044614955983,1.0,289.785513472999,0.008463605245901312,0.825,0.8777242,4
127.0,48875.0,4.546790796271436e-05,0.023837791878997563,1.0,5.441098673706505,0.025558116711690428,0.989,0.8472097,5
127.0,48875.0,4.400050582154824e-05,0.03175381453461522,1.0,13.173312519411427,0.033249628096828986,0.989,0.8472097,5
127.0,48875.0,7.569048581587954e-06,0.03623897431283321,1.0,20.906735623479506,0.007344770971020206,0.989,0.8472097,5
127.0,48875.0,6.154838905922115e-06,0.023120315309105792,1.0,32.240717795772795,0.037605403157304866,0.989,0.8472097,5
127.0,48875.0,1.367933477494243e-05,0.04638371207491811,1.0,57.45745589322049,0.022232810715220395,0.989,0.8472097,5
131.0,77270.0,6.089615930238697e-06,0.009071911725125064,1.0,64.75727634081875,0.027392533321147595,0.928,0.9457213,2
131.0,77270.0,4.971951603438539e-06,0.01436925263184402,1.0,158.60453183978223,0.025203289336385513,0.928,0.9457213,2
145.0,60621.0,1.2808475250901353e-05,0.023449384813967536,1.0,17.931471472200545,0.03602447698147701,0.98,0.81290495,5
145.0,60621.0,2.5939336029754993e-05,0.015083441432565025,1.0,27.842387453454347,0.05944003112073896,0.98,0.81290495,5
145.0,60621.0,9.206905059474407e-06,0.022314988917353184,1.0,50.51694824064277,0.026233740142297995,0.98,0.81290495,5
145.0,60621.0,1.1494788134244067e-05,0.028483956066572648,1.0,120.6174953974775,0.05286119905538482,0.98,0.81290495,5
145.0,60621.0,2.7296723702282933e-05,0.03702211851245382,1.0,284.51650382114696,0.018874116580856526,0.98,0.81290495,5
234.0,45788.0,3.8505118869429536e-05,0.01697095416895519,1.0,12.779269440265812,0.018152159293002984,0.916,0.90913475,4
234.0,45788.0,4.524029997195044e-05,0.017626846229065088,1.0,30.135015002441005,0.02927348373577636,0.916,0.90913475,4
234.0,45788.0,5.9366890394394e-06,0.027747252249595386,1.0,87.97526954579453,0.03390565086409749,0.916,0.90913475,4
234.0,45788.0,3.665017375754303e-05,0.029752730166224903,1.0,254.61506011180836,0.022807586496763194,0.916,0.90913475,4
271.0,25283.0,5.337366799265907e-05,0.018254108718229575,1.0,3.079510245985477,0.010098979346691187,0.923,1.392819,6
271.0,25283.0,2.1958095161766625e-05,0.022382322119110135,1.0,8.553092772330327,0.042286001608995705,0.923,1.392819,6
271.0,25283.0,2.0611218535886296e-05,0.018569048087119316,1.0,15.608776386195139,0.01111968959922023,0.923,1.392819,6
271.0,25283.0,3.190644167694969e-05,0.026466344485394897,1.0,25.206800824034367,0.027898326937740844,0.923,1.392819,6
271.0,25283.0,1.967419901132079e-05,0.017130517833249433,1.0,47.473261913038606,0.02564574664046367,0.923,1.392819,6
271.0,25283.0,5.881742407188375e-06,0.014704375308341594,1.0,77.67439681911236,0.020789384195759986,0.923,1.392819,6
273.0,47395.0,5.82175088977309e-06,0.010017936209818747,1.0,4.193959779951745,0.0007348785179746184,0.831,1.061231,3
273.0,47395.0,3.548574018927314e-05,0.013633179313786638,1.0,10.671763159478582,0.02041250731572079,0.831,1.061231,3
