star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
3,76.6714397,0.990380299,0.0,1.0,1.0,1.0,4,0.6803571503680017
3,138.490214,1.81997435,0.0,1.0,1.0,1.0,4,4.6712533807652274
3,269.130963,2.28349589,0.0,1.0,1.0,1.0,4,4.996919553622141
7,5.96433011,1.03795916,0.15052740833333333,1.0,1.0,1.0,9,1.061855914537723
7,9.45498099,0.929776056,0.0,1.0,1.0,1.0,9,0.5912416867299282
7,18.4740637,0.88105331,0.0,1.0,1.0,1.0,9,0.44310207713116134
7,33.0874728,1.1203993,0.27702392125,1.0,1.0,1.0,9,1.0305787480463464
7,60.0923143,1.17656533,0.0,1.0,1.0,1.0,9,1.4650841678505002
7,83.7619659,0.767710889,0.0,1.0,1.0,1.0,9,0.35232376320087766
7,159.517887,0.563237269,0.10588698749999999,1.0,1.0,1.0,9,0.19119762624296566
7,363.262198,0.490938646,0.0,1.0,1.0,1.0,9,0.11359247163760991
36,8.67821683,1.65220039,0.0,1.0,1.0,1.0,6,5.294839265759782
36,17.6822516,1.36717113,0.0,1.0,1.0,1.0,6,2.488321196817853
36,40.015901,1.27231391,0.0,1.0,1.0,1.0,6,2.3153866641937944
36,64.4624375,0.779560864,0.0,1.0,1.0,1.0,6,0.3820060300372692
36,141.450033,0.932324741,0.0,1.0,1.0,1.0,6,0.8069021894764125
67,18.5338295,1.8545662,0.0,1.0,1.0,1.0,5,5.734847550357472
67,50.6098119,2.17718729,0.0,1.0,1.0,1.0,5,5.401877742121542
67,133.285047,1.55217334,0.0,1.0,1.0,1.0,5,3.6732095732272105
67,246.038247,1.94825442,0.0,1.0,1.0,1.0,5,6.044033836164913
90,53.7179203,2.23951466,0.0,1.0,1.0,1.0,4,5.748613267356053
90,113.932284,2.07935872,0.0,1.0,1.0,1.0,4,6.4241583740772885
90,317.85266,2.4161099,0.0,1.0,1.0,1.0,4,4.540962355919117
92,10.7363811,1.62383911,0.1790115733333333,1.0,1.0,1.0,8,3.274231482586825
92,27.1755775,1.88281766,0.10010502416666667,1.0,1.0,1.0,8,6.396422073437995
92,49.6954675,1.95215548,0.0,1.0,1.0,1.0,8,5.52434250223562
92,72.8078146,1.7654252,0.31816592375,1.0,1.0,1.0,8,5.9082626441949255
92,102.502572,1.48442511,0.0,1.0,1.0,1.0,8,3.3085051886131387
92,255.968479,1.59892696,0.36839516041666664,1.0,1.0,1.0,8,3.024610353500324
145,39.493084,1.40154583,0.0,1.0,1.0,1.0,3,2.5550150130751215
145,96.6926261,1.12107626,0.0,1.0,1.0,1.0,3,1.5337845307033482
168,9.32308084,1.88954538,0.0,1.0,1.0,1.0,7,5.368421235988194
168,13.3069718,1.8326918,0.0,1.0,1.0,1.0,7,5.8354816329306
168,20.2248675,1.31324494,0.0,1.0,1.0,1.0,7,0.5212163205179514
168,27.1403156,1.33471567,0.0,1.0,1.0,1.0,7,2.596078987319105
168,73.2386044,1.10079497,0.0,1.0,1.0,1.0,7,1.0602977401249536
168,252.487264,0.749422912,0.0,1.0,1.0,1.0,7,0.29017819307776377
225,13.6046251,0.636221215,0.0,1.0,1.0,1.0,8,0.2684688395692779
225,26.8943922,0.548272895,0.0,1.0,1.0,1.0,8,0.15912284662149673
225,48.7362468,0.331849295,0.28767135,1.0,1.0,1.0,8,0.10207542170933645
225,89.0790201,0.630042766,0.26580623291666666,1.0,1.0,1.0,8,0.2992316989796751
225,122.990943,0.442889797,0.0,1.0,1.0,1.0,8,0.10825986365373849
225,227.326811,0.606704758,0.0,1.0,1.0,1.0,8,0.14204522594395835
246,16.0896456,0.751697205,0.20343492666666665,1.0,1.0,1.0,5,0.32882019301371657
246,54.3118369,1.01838338,0.30924944375,1.0,1.0,1.0,5,0.9427534686961655
246,186.914384,1.89238636,0.0,1.0,1.0,1.0,5,6.033723172057062
246,386.983937,2.13308655,0.0,1.0,1.0,1.0,5,5.384758267596078
326,10.7550473,3.20329084,0.0,1.0,1.0,1.0,6,9.63231143242345
326,26.5351723,5.31758197,0.0,1.0,1.0,1.0,6,21.736721111958104
326,59.8395937,5.00936371,0.0,1.0,1.0,1.0,6,29.870882701407297
326,147.419867,4.0188807,0.0,1.0,1.0,1.0,6,16.42889278769602
326,307.794451,5.57080625,0.0,1.0,1.0,1.0,6,30.728414169307662
362,18.5877646,0.799400842,0.0,1.0,1.0,1.0,7,0.471221177711056
362,45.9284063,1.28326106,0.0,1.0,1.0,1.0,7,1.7950509350204378
362,66.2179695,1.28126127,0.0,1.0,1.0,1.0,7,1.0576945490397476
362,104.154576,1.12185947,0.0,1.0,1.0,1.0,7,1.556159952979855
362,220.114065,1.41256956,0.0,1.0,1.0,1.0,7,2.3719152056196746
362,331.486373,1.4807578,0.0,1.0,1.0,1.0,7,3.1590304135112017
398,168.890483,2.63873409,0.0,1.0,1.0,1.0,6,5.849052340392552
404,6.79056458,1.71282133,0.0,1.0,1.0,1.0,7,5.317663193876113
404,27.6147403,1.02874392,0.0,1.0,1.0,1.0,7,1.1131736533128023
404,67.3957715,1.72791306,0.0,1.0,1.0,1.0,7,5.520684542318742
404,109.446697,1.59836888,0.0,1.0,1.0,1.0,7,4.297558958643462
404,137.919023,1.619808,0.0,1.0,1.0,1.0,7,3.1821920451191623
404,327.757695,2.08092995,0.0,1.0,1.0,1.0,7,5.609246611287831
411,7.8812897,2.13872477,0.0,1.0,1.0,1.0,6,8.744169619627705
411,16.8045792,1.77733737,0.0,1.0,1.0,1.0,6,4.9787528619115555
411,29.7487446,2.11762882,0.0,1.0,1.0,1.0,6,6.035055367128966
411,66.6828355,1.7153495,0.0,1.0,1.0,1.0,6,5.0036983919384515
411,211.844486,1.94537871,0.0,1.0,1.0,1.0,6,1.7683656288923955
421,27.1050041,2.56577188,0.0,1.0,1.0,1.0,6,6.332654886060092
421,47.3648001,1.99491483,0.0,1.0,1.0,1.0,6,6.35549715122644
421,75.6132439,2.8800704,0.0,1.0,1.0,1.0,6,5.839154592046345
421,100.952061,2.45791329,0.0,1.0,1.0,1.0,6,4.677542285045812
421,195.589382,2.0734766,0.0,1.0,1.0,1.0,6,5.257862082269641
542,71.4559864,2.87426273,0.0,1.0,1.0,1.0,7,10.28351755414754
542,111.606462,1.56739015,0.0,1.0,1.0,1.0,7,3.906021884500114
542,289.93242,1.64325764,0.5567681125,1.0,1.0,1.0,7,3.969061674059701
605,3.12216654,1.14175033,0.0,1.0,1.0,1.0,7,1.072381756504852
605,4.49534095,1.21909002,0.0,1.0,1.0,1.0,7,2.783784200839918
605,10.7158053,1.13933091,0.0,1.0,1.0,1.0,7,1.393738992644483
605,41.8713114,1.72501649,0.0,1.0,1.0,1.0,7,4.354100003652315
605,102.04429,1.96523729,0.0,1.0,1.0,1.0,7,4.73162979596629
605,175.627755,1.88059649,0.0,1.0,1.0,1.0,7,6.290007995592246
645,7.97629804,0.420579415,0.0,1.0,1.0,1.0,8,0.10647038988081536
645,13.2606363,0.435440754,0.0,1.0,1.0,1.0,8,0.10958070334231365
645,30.8188482,0.612939432,0.0,1.0,1.0,1.0,8,0.18778649184082927
645,46.0426521,0.833422208,0.0,1.0,1.0,1.0,8,0.2817382625744624
645,103.080402,1.54334671,0.0,1.0,1.0,1.0,8,2.7553917354685424
645,142.831812,1.03244074,0.0,1.0,1.0,1.0,8,1.211639250758417
645,364.585852,1.19922705,0.0,1.0,1.0,1.0,8,1.2300106038697747
782,21.7487573,1.41922161,0.0,1.0,1.0,1.0,5,2.152605164053324
782,34.3297961,1.58093212,0.0,1.0,1.0,1.0,5,3.854759725775481
782,100.81849,2.33229742,0.0,1.0,1.0,1.0,5,5.24674938471834
782,186.914515,4.64557081,0.0,1.0,1.0,1.0,5,23.39572669058076
850,27.2720691,1.92730495,0.0,1.0,1.0,1.0,6,5.808489933784641
850,51.7289959,1.62640982,0.0,1.0,1.0,1.0,6,5.049290993966007
850,275.791844,1.40219934,0.0,1.0,1.0,1.0,6,2.7414446119725735
850,357.232978,1.8065977,0.0,1.0,1.0,1.0,6,6.059814704692644
984,9.35457161,1.0569215,0.0,1.0,1.0,1.0,7,1.3806552840856496
