# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.3506671834767394
# max_planets_in_clusters: 10
# power_law_P: 0.4
# min_period: 3.0
# max_period: 300.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.42
# sigma_incl: 48.0
# sigma_incl_near_mmr: 1.4
# sigma_hk: 0.02
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.31
# sigma_logperiod_per_pl_in_cluster: 0.21
#
target_id,star_id,star_mass,star_radius,num_obs_planets
8396.0,77834.0,0.994,1.1544836,1.0
8419.0,1766.0,0.816,0.9816314,1.0
8458.0,43171.0,1.079,1.2699157,1.0
8501.0,32641.0,1.207,1.4407815,1.0
8597.0,39118.0,0.643,0.65832746,1.0
8746.0,77240.0,0.82,0.7556446,1.0
8961.0,27516.0,1.437,1.0030199,1.0
8967.0,54634.0,0.855,0.7827198,1.0
9001.0,18278.0,1.148,0.98846513,1.0
9097.0,59.0,1.117,1.1871258,1.0
9110.0,34121.0,1.133,1.0486946,1.0
9351.0,77112.0,0.849,0.81817627,1.0
9408.0,33887.0,0.945,0.9447274,1.0
9452.0,63503.0,0.531,0.70738775,1.0
9709.0,31969.0,0.952,1.2156382,1.0
9730.0,8963.0,0.892,0.808583,1.0
9800.0,16675.0,1.12,0.984285,1.0
9864.0,7713.0,0.934,0.92258686,1.0
9868.0,28863.0,0.899,1.430958,1.0
9876.0,45135.0,0.991,1.1115774,1.0
10023.0,37328.0,0.999,1.1870902,1.0
10130.0,51195.0,0.794,0.94283015,1.0
10194.0,15493.0,1.109,1.3005202,1.0
10317.0,64627.0,0.909,0.95786315,1.0
10330.0,61857.0,1.029,1.2345153,1.0
10357.0,50826.0,0.743,0.698927,1.0
10426.0,62911.0,1.041,1.4274756,1.0
10557.0,57147.0,1.031,1.3697386,1.0
10565.0,58988.0,0.803,0.8722765,1.0
10595.0,79133.0,1.031,1.3124481,1.0
10616.0,54740.0,0.979,1.5234779,1.0
10619.0,11926.0,0.688,0.8215771,1.0
10931.0,71257.0,1.039,1.0200235,1.0
11000.0,46752.0,0.801,0.6461086,1.0
11295.0,33240.0,0.732,0.8459108,1.0
11367.0,50431.0,0.731,0.9348063,1.0
11397.0,74380.0,1.094,1.4535135,1.0
11498.0,31663.0,1.222,1.4856468,1.0
11710.0,23444.0,0.954,1.2069772,1.0
11716.0,46625.0,0.91,0.763977,1.0
11774.0,16496.0,0.915,1.0593892,1.0
11845.0,15821.0,1.026,1.1784118,1.0
11854.0,2671.0,1.279,0.92343146,1.0
11890.0,15600.0,1.054,0.9169227,1.0
11907.0,6585.0,0.771,0.69822794,1.0
11970.0,42905.0,1.039,1.2502162,1.0
11972.0,1032.0,1.105,1.1886593,1.0
11991.0,17552.0,1.261,1.3754314,1.0
11992.0,56976.0,0.948,1.3584925,1.0
12023.0,3153.0,1.186,1.2983311,1.0
12126.0,59560.0,0.867,0.90637124,1.0
12144.0,1797.0,0.632,1.040737,1.0
12285.0,31192.0,0.979,1.0489604,1.0
12303.0,8378.0,1.27,1.4932383,1.0
12315.0,36075.0,0.834,0.9364003,1.0
12507.0,71090.0,1.094,1.3721656,1.0
12545.0,33341.0,1.1,1.4039611,1.0
12590.0,68889.0,0.84,1.0571738,1.0
12592.0,6736.0,0.731,0.8620092,1.0
12668.0,2768.0,1.193,1.3938311,1.0
12723.0,50754.0,0.937,1.0652426,1.0
12774.0,49783.0,1.114,1.1738403,1.0
12874.0,56029.0,0.738,0.80887944,1.0
12935.0,44096.0,0.689,0.6178803,1.0
13063.0,20224.0,1.023,0.87654126,1.0
13119.0,69416.0,0.819,0.81737655,1.0
13125.0,59175.0,1.417,1.8179282,1.0
13138.0,47151.0,0.926,1.0380746,1.0
13184.0,20338.0,1.023,1.3414886,1.0
13239.0,27061.0,1.125,1.094472,1.0
13345.0,36123.0,0.572,0.6210828,1.0
13378.0,76988.0,1.057,1.0084705,1.0
13412.0,10530.0,0.942,0.9934053,1.0
13426.0,51837.0,0.861,0.8353781,1.0
13525.0,702.0,0.993,0.9796609,1.0
13526.0,15582.0,1.071,1.276549,1.0
13568.0,24010.0,0.599,0.57632715,1.0
13626.0,30083.0,0.997,1.1379147,1.0
13638.0,36775.0,1.047,1.2687026,1.0
13690.0,26005.0,0.926,1.1976414,1.0
13784.0,56040.0,1.038,1.1352768,1.0
13852.0,67356.0,1.124,1.6144434,1.0
13919.0,49664.0,0.996,1.1547487,1.0
13939.0,15631.0,1.056,0.9416021,1.0
13943.0,63638.0,0.828,0.730506,1.0
13958.0,53735.0,1.174,1.6158533,1.0
13987.0,5157.0,1.099,1.1284152,1.0
14095.0,54342.0,0.987,0.94420755,1.0
14241.0,70967.0,1.01,1.2027105,1.0
14456.0,4151.0,0.806,0.78571343,1.0
14458.0,43178.0,1.09,1.0762522,1.0
14488.0,19742.0,1.053,0.9645458,1.0
14489.0,635.0,0.695,0.7644777,1.0
14563.0,29194.0,0.846,0.78087056,1.0
14565.0,66948.0,1.114,1.10563,1.0
14583.0,33421.0,1.079,0.95514226,1.0
14669.0,67484.0,0.801,0.95226985,1.0
14721.0,32565.0,1.056,1.4140719,1.0
14979.0,13304.0,1.118,1.3464158,1.0
15034.0,79885.0,1.02,0.80425066,1.0
15135.0,71435.0,0.904,0.92308724,1.0
15149.0,60041.0,0.783,0.60856766,1.0
15247.0,62.0,0.899,1.1325665,1.0
15321.0,38535.0,0.978,1.342633,1.0
15544.0,41445.0,0.931,1.3802952,1.0
15577.0,72280.0,1.131,1.5256369,1.0
15601.0,49945.0,1.134,1.0699642,1.0
15664.0,59540.0,1.022,1.5030755,1.0
15691.0,78131.0,0.876,1.4047174,1.0
15704.0,37253.0,0.903,1.0402195,1.0
15713.0,4207.0,1.069,1.2191031,1.0
15815.0,38479.0,1.079,1.5456483,1.0
15898.0,64062.0,1.0,1.4618063,1.0
15932.0,66689.0,0.821,0.993616,1.0
16051.0,52738.0,1.036,1.4977264,1.0
16162.0,71739.0,0.938,0.8762364,1.0
16241.0,56943.0,0.724,1.0789832,1.0
16274.0,52598.0,0.889,0.88723576,1.0
16343.0,27890.0,0.948,0.9051012,1.0
16351.0,17507.0,1.036,1.0471538,1.0
16401.0,23440.0,0.843,0.7863462,1.0
16698.0,78972.0,1.045,1.4758595,1.0
16719.0,13283.0,1.059,1.1119353,1.0
16827.0,51494.0,1.084,1.5337213,1.0
16920.0,6364.0,1.111,1.0316848,1.0
17057.0,64526.0,1.132,1.4386272,1.0
17134.0,23368.0,0.979,1.1715581,1.0
17181.0,29950.0,0.972,1.2111558,1.0
17199.0,50644.0,0.893,0.6754755,1.0
17229.0,57863.0,1.011,1.3530678,1.0
17275.0,52114.0,0.882,1.225017,1.0
17280.0,11950.0,1.035,0.952725,1.0
17300.0,5584.0,1.1,1.4158291,1.0
17363.0,44392.0,1.104,1.1270194,1.0
17430.0,47283.0,0.954,0.940896,1.0
17492.0,27455.0,1.238,1.3116744,1.0
17506.0,77475.0,0.655,0.64254254,1.0
17581.0,74150.0,0.953,1.3656219,1.0
