target_id,star_id,planet_mass,planet_radius,clusterid,period,ecc,star_mass,star_radius,npl,radius,mass
61.0,73760.0,7.44753847783071e-06,0.04271196696433336,1.0,12.492103604837332,0.011770542447747112,0.944,1.7642115,4,4.650058425239318,22.255375702128468
61.0,73760.0,2.1594846786212496e-05,0.020131426608443442,1.0,19.21000527421033,0.01870110948375127,0.944,1.7642115,4,2.2412252806845654,5.988659703987361
61.0,73760.0,0.00012819162370111814,0.03968145560193251,1.0,44.50095061438042,0.036090651752940246,0.944,1.7642115,4,5.0382342146218395,24.996562054235028
145.0,60621.0,9.206905059474407e-06,0.022314988917353184,1.0,50.51694824064277,0.026233740142297995,0.98,0.81290495,5,2.5897892577341,5.720347050909739
145.0,60621.0,1.1494788134244067e-05,0.028483956066572648,1.0,120.6174953974775,0.05286119905538482,0.98,0.81290495,5,3.014345422139617,5.790067398056324
145.0,60621.0,2.7296723702282933e-05,0.03702211851245382,1.0,284.51650382114696,0.018874116580856526,0.98,0.81290495,5,4.186642302982114,17.444574372515554
234.0,45788.0,3.8505118869429536e-05,0.01697095416895519,1.0,12.779269440265812,0.018152159293002984,0.916,0.90913475,4,1.7953939097163325,6.508893444516872
234.0,45788.0,5.9366890394394e-06,0.027747252249595386,1.0,87.97526954579453,0.03390565086409749,0.916,0.90913475,4,2.7728754445914343,5.494814265708204
234.0,45788.0,3.665017375754303e-05,0.029752730166224903,1.0,254.61506011180836,0.022807586496763194,0.916,0.90913475,4,3.1495506841734136,7.3250812500241995
271.0,25283.0,3.190644167694969e-05,0.026466344485394897,1.0,25.206800824034367,0.027898326937740844,0.923,1.392819,6,3.1057155316077925,8.461009436216823
271.0,25283.0,1.967419901132079e-05,0.017130517833249433,1.0,47.473261913038606,0.02564574664046367,0.923,1.392819,6,1.6499466748388005,4.6784546969642475
271.0,25283.0,5.881742407188375e-06,0.014704375308341594,1.0,77.67439681911236,0.020789384195759986,0.923,1.392819,6,1.587702228658949,3.95013134067762
273.0,47395.0,5.82175088977309e-06,0.010017936209818747,1.0,4.193959779951745,0.0007348785179746184,0.831,1.061231,3,1.0220321903500178,0.9338933670679321
273.0,47395.0,1.0295079694243575e-05,0.017061019141325028,1.0,17.659790241075186,0.041980454134849694,0.831,1.061231,3,1.9476695446421,7.14975891838043
491.0,35136.0,1.6802032876857133e-05,0.04782448963202785,2.0,18.743813169314937,0.004090326794650331,0.912,1.1244932,6,5.221821063283518,22.816589545350006
491.0,35136.0,1.6169290756353846e-05,0.03840334856094428,2.0,47.06959790642173,0.022074087946727102,0.912,1.1244932,6,4.410707545043368,20.257588043993458
491.0,35136.0,8.579934542369191e-06,0.03913376977743582,2.0,77.88226626592578,0.041090586474233,0.912,1.1244932,6,4.5505206871169985,16.075904735124873
491.0,35136.0,1.678255849625326e-05,0.022411930267288875,1.0,187.60895582955484,0.050027290753756004,0.912,1.1244932,6,2.5153289642730616,5.052651771744102
491.0,35136.0,1.992593883056407e-05,0.014731231924864707,1.0,298.86219085062646,0.0416854169033592,0.912,1.1244932,6,1.6510989160615253,4.354531655882122
528.0,77377.0,3.223847748145286e-05,0.013371674482037646,1.0,20.36766125707401,0.011881898606307024,0.859,0.78093207,6,1.4410555362227044,2.7142950091762197
528.0,77377.0,8.050892806249582e-06,0.008244925010475947,1.0,28.652350757490318,0.009921896450151567,0.859,0.78093207,6,0.6992073717402184,0.2590901508453686
528.0,77377.0,9.501921773683088e-06,0.015327816671689651,1.0,59.559659866214744,0.043058779352967674,0.859,0.78093207,6,1.7648089004831502,5.159029971666545
528.0,77377.0,3.1394045573197586e-06,0.007323561405667183,1.0,146.0593211009304,0.016587131407849034,0.859,0.78093207,6,0.8340654572320859,0.47629547548957274
528.0,77377.0,4.645418824821259e-06,0.007497162536905677,1.0,249.9554180705155,0.08862601402227747,0.859,0.78093207,6,0.8133991612911605,0.4703494083666623
713.0,78959.0,2.9062913573327676e-05,0.030180752840157796,1.0,90.55431705506116,0.06338174051789032,0.927,1.119924,4,3.411848405935796,11.856124921221298
720.0,36473.0,2.7345311915966403e-05,0.017613586392932506,1.0,3.7572340392599632,0.040401085568154985,0.997,1.0740129,5,2.1001752289001874,5.5651455342448415
720.0,36473.0,1.470516464566275e-05,0.012823876545478499,1.0,21.483305760073524,0.03039896389277997,0.997,1.0740129,5,1.4068539799975937,2.191381064357631
720.0,36473.0,9.93767097989948e-06,0.029698136483025078,1.0,50.649642442668345,0.03016860620532605,0.997,1.0740129,5,3.18401377679382,7.35726699733482
720.0,36473.0,3.57397592794633e-05,0.01832800787269524,1.0,115.49391788788746,0.015533551509685843,0.997,1.0740129,5,1.977506820794586,4.970376912270142
813.0,50430.0,2.4792432048301408e-05,0.029166333846811724,1.0,16.662073056822077,0.02764594675016701,1.125,1.3907495,3,3.24508383689421,8.689940053288073
813.0,50430.0,2.8355120019688404e-05,0.03988182743965081,1.0,46.00965537621055,0.032798358420888976,1.125,1.3907495,3,4.7519645076509995,22.737347985431313
853.0,78273.0,5.28864793681102e-06,0.014176962681376297,1.0,9.043443234864887,0.02625854280900212,0.992,1.2015337,4,1.492062234208117,3.38022488451141
853.0,78273.0,1.0183669891100328e-05,0.010497281041908972,1.0,82.34833617029783,0.030592224939880147,0.992,1.2015337,4,1.1799941226133515,1.543610253522849
982.0,38315.0,2.8992834102689127e-06,0.006439155716660827,1.0,40.085902227275305,0.008490247815749448,1.026,1.413411,6,0.768586258689598,0.3788961498409983
982.0,38315.0,1.7327490188082872e-06,0.007397814025661854,1.0,97.70893519486732,0.011064521753199793,1.026,1.413411,6,0.7765212743867146,0.4024626334880925
982.0,38315.0,7.239206953759955e-06,0.010542299463350084,1.0,186.93014849935528,0.004190436634146224,1.026,1.413411,6,1.3104138128114788,2.1323316394642213
982.0,38315.0,6.443560713831397e-06,0.005525682412340154,1.0,282.9972805979177,0.040927125644671644,1.026,1.413411,6,0.5887921799724231,0.17174536228717263
1037.0,59938.0,0.0001530595639775229,0.03776841556987792,2.0,4.049975087218182,0.009776416729287675,0.751,0.73502976,7,4.597324913025815,14.562321933409205
1037.0,59938.0,3.0219516092920248e-05,0.043260718623373065,2.0,12.088485911286512,0.0023339083188691255,0.751,0.73502976,7,4.699555464132514,21.827837414476228
1037.0,59938.0,4.859851563779647e-06,0.006420822775657817,1.0,39.34540435994955,0.009567565292010352,0.751,0.73502976,7,0.74430224562776,0.34128891110011217
1037.0,59938.0,8.34043711946365e-06,0.006089014942571917,1.0,54.39516757740473,0.03702657379270081,0.751,0.73502976,7,0.6678052362922292,0.25189461821418346
1037.0,59938.0,3.6020314011350164e-07,0.004900474254608028,1.0,108.62868807126743,0.014763825406787653,0.751,0.73502976,7,0.5354606513435747,0.1316293575915418
1037.0,59938.0,4.224472225085602e-07,0.005181907577403534,1.0,196.46079244737066,0.011586068669457888,0.751,0.73502976,7,0.5838056579482884,0.17417911673088907
1073.0,25183.0,7.458902650925242e-06,0.006253094168072124,1.0,5.272082907235291,0.01787130383523972,1.0,1.0110272,7,0.6777336990135109,0.2609523498120193
1073.0,25183.0,4.5655069609652055e-06,0.007099724963831456,1.0,7.539317756603378,0.0339057713850353,1.0,1.0110272,7,0.7932580446719786,0.4195368855816838
1073.0,25183.0,5.087511340983856e-06,0.007945663398899495,1.0,16.163916237018654,0.007065483691665121,1.0,1.0110272,7,0.9560911863577142,0.7523135255327307
1073.0,25183.0,2.9181713357341206e-05,0.036418953699348694,2.0,50.52109526577786,0.038650169326577666,1.0,1.0110272,7,3.9110723788365185,16.19823554236027
1073.0,25183.0,4.342376890750734e-05,0.02208934073104555,2.0,87.62658349416732,0.034457072405897876,1.0,1.0110272,7,2.5895042440066565,5.5318664164609626
1073.0,25183.0,2.189846936542509e-05,0.021509067994993795,2.0,174.67840998515865,0.03856125268849302,1.0,1.0110272,7,2.366902918520674,5.375294423213755
1178.0,16679.0,2.5730162626221032e-05,0.023381567818987703,1.0,20.361051069164017,0.012164122963241328,0.904,1.0515348,7,2.1599045108204966,5.733558317579606
1178.0,16679.0,9.675524396609555e-06,0.019938197970676856,2.0,28.91877206404652,0.024605387371344482,0.904,1.0515348,7,2.2590422593682735,5.158216172956072
1178.0,16679.0,6.846837469001358e-06,0.015381674372511655,2.0,39.54090644532305,0.022435421886512645,0.904,1.0515348,7,1.7780949160637851,5.942021444750573
1178.0,16679.0,2.989017744464625e-05,0.03042286356626348,1.0,65.74786531227649,0.03192671042882053,0.904,1.0515348,7,3.4374660650596693,11.42232382984471
1178.0,16679.0,9.812007202135303e-06,0.03458807103796643,1.0,112.48503966125396,0.006354544945462506,0.904,1.0515348,7,3.882173276774641,16.23745629214232
1178.0,16679.0,1.565983808268595e-05,0.016452749681301303,1.0,210.8989991078661,0.03350766226147152,0.904,1.0515348,7,1.7599992363035375,6.053973296132549
1221.0,41775.0,1.9396097803576405e-06,0.00969048695848057,1.0,13.461589151765047,0.012879484204938094,0.846,0.8094911,5,1.0288819446374913,0.8834855543589101
1221.0,41775.0,6.219326202435582e-06,0.013115797218096456,1.0,17.701555781062197,0.01291060283835422,0.846,0.8094911,5,1.4743429391916743,3.047288003619644
1221.0,41775.0,4.811733082605473e-06,0.007798043624946371,1.0,25.640762089396755,0.04918712665819161,0.846,0.8094911,5,0.8161641363440941,0.48810679662650946
1221.0,41775.0,3.0523264558232854e-06,0.011038618356435364,1.0,259.6927466578605,0.04286041850333762,0.846,0.8094911,5,1.1847144930040112,1.1099558486251082
1253.0,40042.0,6.04795249009851e-05,0.04512394839790025,2.0,16.85221402684965,0.015923383587919806,1.072,1.7193383,5,4.860441141991174,24.31458197776484
1253.0,40042.0,0.00015518927483814285,0.03430714820370466,2.0,47.25935169822594,0.028806507833003567,1.072,1.7193383,5,3.6357517054411512,14.26243085394983
1253.0,40042.0,9.484358633323659e-05,0.0435126482668375,2.0,99.86638179225673,0.019555352632771115,1.072,1.7193383,5,4.781170823912999,22.2011109382934
1253.0,40042.0,1.1260040624833596e-05,0.029865135407121712,1.0,282.8454554279967,0.03840512994468756,1.072,1.7193383,5,3.18070899264332,6.704483626507326
1280.0,37671.0,1.6789738578056158e-05,0.007895534372934223,1.0,26.12923262435831,0.03576598114344886,0.775,0.68703336,6,0.8645235154224983,0.551120881147454
1280.0,37671.0,3.246678395343402e-06,0.007960610971827594,1.0,37.08907299845312,0.015163108057640798,0.775,0.68703336,6,0.8589328988735476,0.565127217350982
1280.0,37671.0,7.007622525235681e-07,0.005962881229683001,1.0,54.817821697191235,0.03775045338912627,0.775,0.68703336,6,0.6737969886938677,0.2548833180496143
1280.0,37671.0,2.519393703065006e-06,0.00621641967968172,1.0,84.29977823915038,0.015757473651795945,0.775,0.68703336,6,0.6843187794170882,0.27394134634139683
1280.0,37671.0,3.1194784847646677e-06,0.007985810836747613,1.0,297.835537163608,0.043098133518651556,0.775,0.68703336,6,0.773869435217979,0.38648871036992327
1287.0,70308.0,9.39602140243818e-06,0.03666794488180261,1.0,6.843060964495584,0.017714257121926518,1.581,1.587674,5,4.340192825530393,18.2496717398355
