# starID,Period_days,Radius_earth,Duration_hours
2092,9.68018081e+00,1.46214527e+00,3.97211085e+00
2092,2.09361260e+01,1.19574175e+00,4.98405007e+00
2092,8.14015641e+01,1.76169339e+00,7.82636347e+00
2144,4.10073862e+00,2.74820796e+00,2.44609703e+00
2166,4.97525785e+00,3.66119255e+00,3.38542860e+00
2215,2.10828655e+01,2.42604197e+00,5.03376851e+00
2248,1.29933226e+01,2.48531562e+00,3.23069145e+00
2297,4.04910742e+01,1.82237216e+00,5.76651170e+00
2431,9.66942903e+00,3.98803972e+00,4.30391647e+00
2525,1.46773267e+01,1.55599231e+00,4.99332896e+00
2533,8.26832910e-01,1.35936719e+00,1.68549199e+00
2533,1.05637630e+00,1.36741313e+00,1.48908873e+00
2571,1.16112638e+01,1.54382799e+00,2.32528185e+00
2579,6.77368531e+00,3.06902554e+00,3.78729792e+00
2579,1.48613827e+01,3.06278988e+00,4.36059234e+00
2584,3.73655367e+01,2.76917980e+00,6.84942453e+00
2588,8.61438347e+00,1.55129191e+00,3.52734096e+00
2727,2.95111081e+01,1.64444001e+00,6.44311191e+00
2754,1.05716260e+01,1.84648782e+00,4.56832062e+00
2786,8.21229623e+00,2.60760121e+00,3.21269762e+00
2786,1.57896199e+01,3.25321812e+00,5.30420007e+00
2786,3.03253225e+01,2.78381932e+00,3.15784857e+00
2786,2.81254721e+02,6.79377128e+00,1.33695237e+01
2808,3.76450393e+00,2.36900866e+00,3.24031768e+00
2808,3.62506526e+01,4.70639701e+00,3.84900490e+00
2819,2.23531837e+00,2.04668402e+00,1.50165395e+00
2820,5.60564634e+01,3.54518321e+00,6.46136690e+00
2838,8.61479433e+00,2.45710711e+00,4.14665142e+00
2892,4.97525734e+00,2.76949779e+00,3.59216136e+00
2892,7.35872264e+01,5.40231829e+00,6.75766744e+00
2909,2.24085653e+01,1.25838613e+00,4.08958095e+00
2945,1.75778155e+00,2.43393626e+00,2.09202459e+00
2945,2.58837938e+00,4.52682436e+00,1.01345448e+00
3033,1.38145275e+01,1.05487635e+00,4.91152822e+00
3095,1.02460758e+02,3.07609953e+00,9.56988074e+00
3096,2.13343579e+00,2.76680744e+00,1.96657628e+00
3110,2.27470501e+01,2.86172925e+00,3.81140433e+00
3114,2.36922827e+00,2.70119247e+00,2.45830780e+00
3121,1.54554856e+01,1.91990537e+00,4.82910797e+00
3171,3.77809200e+00,6.32768838e-01,3.22996968e+00
3176,1.08442786e+01,2.62902115e+00,4.47083417e+00
3176,3.61508343e+01,3.15523425e+00,6.77211631e+00
3207,1.34776270e+00,2.29280555e+00,2.20867529e+00
3300,2.67217976e+00,2.83378996e+00,2.27246328e+00
3348,1.95815542e+00,2.25144321e+00,2.29648301e+00
3350,1.56145247e+01,1.74960761e+00,4.45236625e+00
